index, color
0,#9966CC
1,#CC9900
2,#FFFF33
3,#CC33FF
4,#006666
5,#FFCC00
6,#660099
7,#996666
8,#9999FF
9,#0033CC
10,#CC9999
11,#3399CC
12,#FF3333 
14,#9966FF
15,#006699
16,#FF3399
17,#996600
18,#CC9933
19,#660000 
21,#990033
22,#33FF66
24,#336633
26,#CC0099
28,#66CC33
29,#FFCC99
30,#FF0099
31,#9900CC
32,#66CCFF
33,#33CC99
35,#66FF99
36,#0000FF
37,#330099
38,#000066
39,#3300FF
40,#666699
41,#FF99CC
42,#99CC00
44,#336600
45,#CC99FF
46,#FF9966
47,#9933CC
48,#0099CC
49,#99FF66
50,#FFFFFF
51,#CC33CC
52,#0000CC
53,#003366
54,#00FF33
55,#33CC33 
57,#009933
58,#993399
59,#CC66CC
60,#993333
61,#CCCC99
62,#3366CC
63,#669999
64,#CC6699
65,#FF33CC
66,#003300
69,#660033 
71,#CCCC66
72,#00CC00
74,#99FF99
75,#663366
76,#990099
77,#993366
78,#3366FF
79,#663333
80,#FF6633
81,#99CC33
82,#CC3300
83,#660066
84,#663300
85,#996699
86,#CC3366
87,#CC3333
88,#339933
89,#9900FF
90,#0066FF
92,#006633
93,#6699FF
94,#FF0000
95,#00CC99
96,#6666CC
97,#666633
98,#6699CC
99,#996633
100,#66CCCC
101,#CCCC00
102,#33CC66
103,#FFFF00
104,#0033FF
105,#CCFFFF
106,#333366
107,#33FFCC
108,#336666
109,#339999
110,#339900
111,#33FF33
112,#FF66CC
113,#66FFCC
114,#006600
115,#99FF33
116,#669933
117,#66CC99
118,#3399FF
119,#9999CC
120,#FF33FF
121,#CCFF00
122,#999933
123,#999966
125,#FF66FF
127,#CCCCFF
128,#6666FF
129,#33FF00
130,#CCCC33
131,#999999
132,#00FF00
134,#6600FF
135,#666666
136,#FF6600
137,#990066
138,#FFFF99
139,#99CCCC
140,#33CCCC
142,#FF9900
144,#6633FF
145,#99CC66
146,#33CCFF
147,#669900
148,#33FF99
149,#00FFFF
150,#66CC66
151,#00FF99
152,#FF9999
153,#009999
154,#CCCCCC
155,#99CC99
156,#669966
157,#9933FF
158,#FF6699
159,#CC3399
160,#333399
161,#CC99CC
162,#CC0000 
164,#CC66FF
165,#CC6633
166,#FF6666
169,#FFCC66
170,#99CCFF
171,#330000 
173,#CCFF99
174,#3300CC
175,#333333
176,#66FF00
177,#336699
178,#993300
179,#CCFF33
180,#00CCCC
181,#00CC33
182,#CC0066
183,#663399
184,#00FF66
185,#009900
186,#33FFFF
187,#FFFFCC
188,#66FF66
189,#CCFFCC
192,#990000
193,#3333FF
194,#0066CC
195,#FFCCFF
196,#FF00CC
197,#FF9933
198,#CC6600
199,#FFFF66
200,#0099FF 
202,#003333
203,#CC6666
204,#000099
205,#FF0066
207,#FF3366
208,#330066
209,#003399
210,#FFCCCC
211,#00CC66
212,#00FFCC
213,#339966
214,#99FFFF
215,#CC0033
216,#FF0033
217,#FF99FF
218,#6600CC
219,#000033 
221,#99FF00
222,#66FF33
223,#00CCFF
224,#666600
225,#330033
226,#6633CC
227,#99FFCC
229,#FF3300
230,#66FFFF
231,#009966
232,#CC00CC
233,#000000
234,#999900
235,#66CC00
236,#333300
237,#CC9966
238,#FFCC33
239,#CC00FF 
243,#3333CC
244,#CCFF66
245,#33CC00
